host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
3640,Jasmyne,2022/8/28,,,within a day,0.50 ,1.00 ,f,Brooklyn Heights,1,1,['phone'],t,t
3641,Alex And Vlada,2020/7/25,,"At Outpost Club, we believe that finding a place to live should be as easy as buying a cup of coffee. 
Founded in 2016 by a team who knows what it鈥檚 like to move we spent our careers traveling around the world, working remotely and building start-ups.
Outpost Club was launched by three entrepreneurs who understands the challenges of moving to new places, working remotely and building a start-up from scratch in a new place. Our mission is to build a tight-knit community with shared passions and visions, thereby making the world we live in a better place. Apply today, move in tomorrow. Our spaces are cleaned regularly and restocked with all the essentials. Flexibility and convenience matched with beautiful spaces and new friends, that鈥檚 what we鈥檙e all about for the thousands of guests we鈥檝e served.


",within a few hours,0.55 ,0.88 ,f,Bedford-Stuyvesant,5,65,"['email', 'phone']",t,t
3642,Kosmopolitan,2019/12/19,United States,"Hi, my name is Alex and I am representing a collective of entrepreneurs and artists pooling together resources to offer affordable and  authentic accommodations. We have been hosting since 2011 with the main objective to promote local experiences in Big cities. We believe traveling expands the mind and offers a fertile ground to confront our own prejudices about a culture, a country and ourself. No one has arrived anywhere, we are in a constant journey and sharing (hospitality, words, ideas) is the best currency...
Come explore New York or Los Angeles with us and let's shift our perspective to take more in !",within a few hours,1.00 ,1.00 ,t,Bushwick,9,9,"['email', 'phone']",t,t
3643,Stephanie,2012/4/29,"New York, NY","I am a visual artist and professor, residing in Manhattan and Berlin.  Since I happily spend most of my  nickels and free time traveling to Berlin to paint and be with my partner, I want someone to enjoy my home who loves (or will love) New York as much as I do.  My apartment is also my painting studio, so enjoy the art on the walls, not all mine of course, as well.  I love cooking for my friends so the apartment is built to be cozy and to be shared.  I love my East River Park for long walks and for eating out in the neighborhood, look no further than downstairs!  I love New York because it has it all.  My neighborhood is everchanging.  Lots of new galleries springing up near me and the New Museum.  The best thing, I love staying connected to the people and cultures that I are unlike myself.",,0.22 ,0.29 ,f,Lower East Side,1,3,"['email', 'phone']",t,f
3644,Paula,2014/2/10,"New York, NY",,within a few hours,1.00 ,0.98 ,t,Hamilton Heights,2,2,['phone'],t,t
3645,Julian,2019/6/29,"West New York, NJ",I am a speech-language pathologist looking to explore the world and host great experiences in my spare time. ,within a few hours,0.80 ,0.74 ,t,,1,1,"['email', 'phone']",t,t
3646,Micheline,2021/10/7,,,within an hour,1.00 ,0.93 ,f,East Elmhurst,1,1,"['email', 'phone']",t,t
3647,Marcia,2011/10/11,"New York, NY","I am a lover of cats, specially Pancho and Edith, my cats, my city, and all the places I've been to, which are many! Soy amante de los gatos, especialmente de mi gato, y de todos los lugares que he visitado.",within an hour,1.00 ,0.77 ,f,Hamilton Heights,3,10,"['email', 'phone', 'work_email']",t,t
3648,Bobbi,2014/9/29,"New York, NY","Hey everyone, hmm a little about me... Im a native New Yorker along with my roommate and boyfriend. I鈥檓 trying to live as sustainable and eco conscious as I can (with room for error). I have yorkie who is 7. Everyone in the apartment is fully vaxxed and boosted. BLM LGBTQ friendly ",within a few hours,1.00 ,0.90 ,t,Astoria,2,2,"['email', 'phone']",t,t
3649,Svintsov,2018/3/3,"New York, United States",,,0.09 ,0.72 ,f,Bedford-Stuyvesant,1,3,"['email', 'phone']",t,t
3650,Anni,2013/5/2,"Frankfurt, Germany","Hey guys, I'm Anni - 28 years young and based in Frankfurt, Germany. ",,0.15 ,0.13 ,f,Financial District,1,1,"['email', 'phone']",t,t
3651,Robert,2016/7/17,"New York, NY",,,0.63 ,0.43 ,f,West Bronx,1,2,['phone'],t,t
3652,Andrey,2015/4/1,"New York, NY","I am a Russian New Yorker, who enjoys life and likes traveling and exploring . I work in finance, travel a lot, do crossfit and many other things. I am clean and responsible. I am a non-smoker. ",within an hour,1.00 ,1.00 ,t,,1,2,"['email', 'phone']",t,f
3653,Sharedeasy,2020/2/7,,"SharedEasy is the only community-oriented Coliving company that offers the easiest way to rent your room or bed, with the possibility to move-in even within a few hours. We offer the most affordable prices with great quality of service and it's the best value for money.
 
As our resident, you鈥檒l enjoy free unlimited access to 120+ GYMs as well as to 15+ co-working spaces around New York City. This Is a unique offer on the market!
",within a day,1.00 ,0.83 ,f,Bedford-Stuyvesant,4,4,"['email', 'phone']",t,t
3654,Edyta,2016/1/10,"New York, NY",I was born in Poland and came to New York 30 years ago.,within an hour,1.00 ,1.00 ,f,Flushing,2,2,"['email', 'phone']",t,f
3655,Virginia & Steve,2017/1/5,"New York, United States",,within an hour,1.00 ,0.97 ,f,Midwood,1,1,"['email', 'phone']",t,t
3656,Untitled,2017/11/16,"New York, NY","We are UNTITLED 3 freeman alley!
Urban hotel rooms in the heart of New York City. Located in the lower east side. Freeman alley. Everything you need for your next stay. ",within an hour,1.00 ,1.00 ,t,Greenpoint,200,212,"['email', 'phone']",t,t
3657,Shogo,2018/7/5,"New York, United States",,within a few hours,0.99 ,0.86 ,f,Elmhurst,215,222,"['email', 'phone']",t,t
3658,Susan,2013/6/19,"New York, NY","Arizona native turned New Yorker.  I enjoy exploring, making my sanctuary Pinterest worthy, karaoke and FOOD. ",within an hour,1.00 ,0.62 ,f,Bushwick,1,1,"['email', 'phone']",t,f
3659,Kristina,2021/6/9,,"Founded in 2016 by a team who knows what it鈥檚 like to move we spent our careers traveling around the world, working remotely and building start-ups.
Outpost Club was launched by three entrepreneurs who understands the challenges of moving to new places, working remotely and building a start-up from scratch in a new place. Our mission is to build a tight-knit community with shared passions and visions, thereby making the world we live in a better place. Apply today, move in tomorrow. Our spaces are cleaned regularly and restocked with all the essentials. Flexibility and convenience matched with beautiful spaces and new friends, that鈥檚 what we鈥檙e all about for the thousands of guests we鈥檝e served.",within an hour,1.00 ,0.72 ,f,Kensington,6,16,"['email', 'phone']",t,t
3660,Majsan,2010/11/18,,I am Swedish originally but lived in NYC for a long time . I love to meet new people and cook good food etc .,within a few hours,1.00 ,0.47 ,f,,1,4,"['email', 'phone']",t,t
3661,Adrien,2013/9/2,"New York, NY","I'm Adrien, a French citizen living in NY since 2014.",,0.22 ,0.75 ,f,Midtown East,2,2,"['email', 'phone']",t,t
3662,Julien,2012/10/27,"New York, NY","Living in (and loving) NY since 2008. Born and raised in France, and proud dad of two kids (10 and 6 years old) ",,0.97 ,0.94 ,f,Hamilton Heights,1,1,"['email', 'phone']",t,t
3663,Peter,2010/8/15,"New York, NY",Investment professional ,within an hour,1.00 ,1.00 ,t,Greenwich Village,1,2,"['email', 'phone', 'work_email']",t,t
3664,Marisa,2014/9/11,"New York, NY",,within a few hours,1.00 ,0.96 ,f,Stapleton,2,2,"['email', 'phone']",t,f
3665,Karen,2021/11/2,,,within a few hours,1.00 ,1.00 ,t,Bedford-Stuyvesant,1,1,"['email', 'phone']",t,f
3666,Maher,2012/7/18,"New York, NY",Born in New York; lived in 5+ different countries. Back to New York now and enjoy hosting and being hosted!,,0.26 ,1.00 ,f,East Village,1,2,"['email', 'phone']",t,t
3667,Anthony,2016/9/7,"New York, NY","I am an artist that solves problems with hair air drying perfectly in the space. I enjoy the AM stretching and fitness. Midday max 2 clients a day but if not I鈥檓 working on art or making the space more functional and enjoyable for guest. I keep a quite vibe until it鈥檚 karaoke time. 

Blessings. ",within a few hours,1.00 ,0.96 ,f,Southside,5,5,"['email', 'phone']",t,t
3668,Eugene,2012/8/11,"New York, NY","my number: (Phone number hidden by Airbnb) , my email: (Email hidden by Airbnb)",within a day,0.96 ,0.05 ,t,Flatbush,290,435,"['email', 'phone']",t,t
3669,Sabina,2015/10/12,"New York, NY","I am an artist and I love BedStuy, one of the most diverse neighborhoods in NYC!  Visitors who want to explore the best of Brooklyn culture and hospitality will be thrilled! Teachers, students, intellectuals, artists, musicians, all culture curious will be excited to stay in my neighborhood, best of BK vibes, rhythm and life.   I am available to provide suggestions or advise on food, restaurants, bars, music, museums, galleries, theatre or film culture. Let me know what your interests are and i will do my best to  research. Interiors are Zen and contemplative, lots of books,  holistic living, artists' retreat. Urdu/Hindi/Spanish spoken, as well as English, of course. International visitors will appreciate world class standards. Foodies will have no complaints as the kitchen is fully stocked for a chef. This neighborhood has the best night life with lively wine bars and music every night within walking distance in the most vibrant neighborhood in NYC. BIPOC, LGBT, artists, travelers, musicians, writers and students are embraced and most welcome! ",within an hour,1.00 ,0.79 ,f,Bedford-Stuyvesant,2,3,"['email', 'phone']",t,f
3670,Nneka,2015/4/16,"New York, NY",I am a Director and television producer. Travel very often to film and or do research for the project i do. ,,0.34 ,0.99 ,f,Bedford-Stuyvesant,1,2,"['email', 'phone', 'work_email']",t,t
3671,Eva,2016/11/16,"Reykjav铆k, Iceland",,,0.81 ,0.83 ,f,Astoria,1,1,"['email', 'phone']",t,f
3672,Maria,2019/2/7,"New York, United States",,within an hour,1.00 ,0.71 ,f,Grant City,14,19,"['email', 'phone']",t,f
3673,Felicia,2015/7/1,"New York, NY",,within a few hours,0.78 ,1.00 ,f,Claremont,2,3,"['email', 'phone']",t,t
3674,Rachel,2017/2/19,"New York, NY",,within an hour,1.00 ,1.00 ,f,,1,1,"['email', 'phone']",t,t
3675,Louis,2012/3/24,"New York, United States",,within an hour,0.95 ,0.97 ,f,Bedford-Stuyvesant,9,11,"['email', 'phone']",t,t
3676,Katherine,2017/4/17,United States,,,0.39 ,0.76 ,f,Alphabet City,1,1,"['email', 'phone', 'work_email']",t,t
3677,Global Luxury,2017/12/19,,,within an hour,1.00 ,0.76 ,f,Cambridge,150,201,"['email', 'phone', 'work_email']",t,t
3678,Noah,2016/7/1,"New York, NY",,within a day,0.90 ,0.91 ,f,Dumbo,1,1,"['email', 'phone']",t,t
3679,Izi,2014/5/5,"New York, NY",Please fill in,within an hour,1.00 ,0.90 ,t,Upper West Side,8,8,"['email', 'phone']",t,t
3680,Claudia,2010/11/18,"New York, NY","Doug and I have been AirBnB hosts since 2010, and are happy to host people in our own home in Brooklyn. I'm originally from Brazil, and Doug is from Wisconsin. We have two daughters, ages 10 and 12 and love sharing our neighborhood with guests.",within an hour,1.00 ,1.00 ,t,Lefferts Garden,2,2,"['email', 'phone']",t,t
3681,Julia,2013/9/14,"New York, NY",,within a few hours,1.00 ,1.00 ,f,Downtown Miami,1,1,"['email', 'phone']",t,t
3682,Ellen,2013/9/11,"New York, NY","Love the energy of the cities-  i believe travel is a way of life. Can't live without water, air, light, words, and beauty. Really hate doing self description, so maybe more on this later?",,0.61 ,0.63 ,f,Chelsea,1,1,"['email', 'phone', 'work_email']",t,t
3683,Felisha,2018/3/15,"New York, United States",,,0.02 ,0.32 ,f,Bedford-Stuyvesant,2,2,"['email', 'phone']",t,t
3684,Nathaniel,2022/2/13,,,,0.18 ,0.86 ,f,Midtown,2,2,"['email', 'phone']",t,t
3685,Ari,2014/9/29,"New York, NY",Hi! I am an artist who has been living in NYC for the past 15 years. As a host I pride myself on being a good communicator and creating a comfortable environment. I rent my room while I do extensive traveling each year. - As a guest I am courteous and tend to keep to myself.,within a few hours,0.92 ,0.44 ,f,East Harlem,2,2,"['email', 'phone']",t,t
3686,Kristy,2014/11/28,"New York, NY","Hello! We are Kristy and Cris, an artist couple living and working in New York City. Im a muralist and teaching artist and have lived in East Harlem for 12 years; Cris is a sculptor and jewelry designer originally from Lima, Peru. We spend part of the year traveling the world, but when we are in NYC we enjoy hosting in our East Harlem apartment. Our house is a unique creative space that we have been opening to travelers and artists during the summer months since 2015. We love meeting new people and learning about their cultures, and we also love showing them our beautiful city and helping them have the best NYC experience possible. We are always around to recommend great places to eat, awesome events going on around town, and tips for how to see and do what interests you most!

",within an hour,0.97 ,0.99 ,f,East Harlem,4,8,"['email', 'phone']",t,t
3687,Antoinette,2016/9/3,"New York, United States",,within an hour,1.00 ,1.00 ,t,Bedford-Stuyvesant,1,1,"['email', 'phone']",t,t
3688,Mar,2019/6/22,"New York, United States","Hello, we are the team of professionals. Our company is well organized, talented, and creative. For us events business is an art and we are an artist. We welcome everyone to host your event with us and we will make it so wonderful and memorable for you. Hospitality is my passion and every person who comes to host an event with us we treat them like family and provide our full guidance and skills as per their need.",within an hour,1.00 ,1.00 ,f,Bedford-Stuyvesant,3,9,"['email', 'phone']",t,t
3689,Masud,2020/2/3,"New York, United States",,within an hour,1.00 ,1.00 ,f,Flushing,6,6,['phone'],t,f
3690,Marc,2014/10/18,"New York, NY","We are newlyweds that have been living in NYC for over six years now and love it!  We're clean, young, hard-working professionals that enjoy all that the Upper East Side has to offer.  Whether it鈥檚 going to Central Park (only a 10 minute walk), checking out museums, trying local restaurants and more. The best part about our area is that there is tons to see and do all within a short walk! 

We鈥檙e very familiar with getting around town and would be happy to assist you with any travel questions you may have, as well as provide some suggestions for entertainment and/or attractions in the area.",,0.14 ,0.59 ,f,Upper East Side,1,1,"['email', 'phone']",t,t
3691,Jason,2020/8/29,,,within an hour,1.00 ,0.91 ,f,Ocean Hill,1,4,"['email', 'phone']",t,f
3692,Ian,2014/4/21,"New York, NY","My name is Ian Austin.  I am 27 years old.  I live and work in NYC in the fields of real estate investment and cosmetics.  I love going to the beach and during the summer find myself doing that every weekend.  When I travel, I try to go to places to relax, take it easy, and enjoy myself.  ",a few days or more,0.25 ,0.20 ,f,,2,5,"['email', 'phone', 'work_email']",t,t
3693,Tenzin,2019/3/18,"New York, United States",,within an hour,1.00 ,1.00 ,f,Flushing,3,3,"['email', 'phone']",t,t
3694,Katsiaryna,2021/1/21,"New York, United States",,within an hour,1.00 ,1.00 ,f,Far Rockaway,1,1,"['email', 'phone']",t,f
3695,Nick,2016/2/23,"Los Angeles, CA","Hello everyone, my name is Nir , I'm 33 years old, an attorney practicing real estate.   
I am really into surfing and that is why i live in LA :) 
I have been hosting people for a long time and I love it! 


See you soon
Nir :) ",within a day,1.00 ,0.57 ,f,Central LA,2,11,"['email', 'phone']",t,t
3696,Malika,2014/5/22,,,within a day,1.00 ,0.50 ,f,,1,3,['phone'],t,t
3697,Pamela,2019/5/23,,,within a few hours,1.00 ,0.33 ,f,Far Rockaway,1,1,"['email', 'phone']",t,f
3698,Bahshillo,2020/3/20,,,,0.95 ,0.31 ,f,Midtown,1,1,['phone'],t,f
3699,Mark,2019/7/1,"New York, United States","Born and raised in bed Stuy like to walk around and enjoy the new bed Stuy 
",within a few hours,0.80 ,0.75 ,f,Ocean Hill,2,3,"['email', 'phone']",t,f
3700,Maham,2014/6/24,"New York, NY",,,0.14 ,0.01 ,f,Greenpoint,1,1,"['email', 'phone']",t,t
3701,Jasvir,2021/6/2,,,within a few hours,0.90 ,0.84 ,f,Flushing,3,4,['phone'],f,f
3702,Michelle,2012/5/22,"New York, NY",I am a very upbeat energetic happy person.  I have always actually wanted to open a B&B because I love to take care of people and be the best host possible.  I live in the brownstone and rent out one of the furnished apartments as a B&B or as a furnished apartment for longer term. I am an art dealer and usually always doing something related to the arts. ,,0.62 ,0.00 ,f,Clinton Hill,1,5,"['email', 'phone']",t,t
3703,Pierre,2016/1/14,"Paris, France",I鈥檓 a 29 yo French guy who works in the city for a watchmaker and live with another roommate which is French as well. We have a room available in January and we would love to allow anyone to discover Williamsburg. ,,0.14 ,0.62 ,f,Midtown,2,2,"['email', 'phone', 'work_email']",t,t
3704,Jason,2019/5/23,"Mount Vernon, NY",Filmmaker and Video Marketing Professional.  ,within a day,1.00 ,0.33 ,f,,1,1,"['email', 'phone']",t,f
3705,Lina,2012/8/14,"New York, NY","Hi,

Girl from Sweden. Lived in London for 7 years and now living in Brooklyn, NY ",,0.99 ,0.43 ,t,Bedford-Stuyvesant,3,3,"['email', 'phone']",t,t
3706,Farida,2015/8/14,"Elmont, NY","Hello I'm very easy going individual, who love spending time sight seeing and enjoy meeting people. ",within an hour,1.00 ,0.99 ,t,,3,3,"['email', 'phone']",t,t
3707,https://a0.muscache.com/pictures/miso/Hosting-19591602/original/bd07f903-388b-4f81-b2c7-fee007a105af.png,2019/3/18,"New York, NY",Ali,2017/6/28,0.27 ,0.80 ,t,f,https://a0.muscache.com/im/pictures/user/3fd34dd8-ac76-4f0b-9051-d227288fe743.jpg?aki_policy=profile_small,6,Flushing,t,t
3708,Daniel,2012/6/8,"New York, NY","Hi Ruben,
  My name is Daniel, i am from Chile and i live in NY since 2008, working for the Trade Commission of Chile (I am the Deputy Commissioner). I work in the food/ beverage industry and i have to attend the Fancy Food Show, which is taking place in DC, from Jun 17th to 19th.  I am a very clean and respectful person. Eat very healthy and practice sports very often
   ",within a day,0.50 ,1.00 ,f,,1,1,"['email', 'phone']",t,t
3709,Joao Lucas,2012/10/30,"New York, NY","i'm easy going, friendly and helpful i love to have people in my home.",within an hour,1.00 ,1.00 ,t,Astoria,1,1,"['email', 'phone']",t,t
3710,Teddy,2012/10/21,"Topanga, CA","Greetings,

I currently live in Topanga California after 15 years of life in nyc ( primarily brooklyn ).   I live in a large quiet home in Topanga towards the Top of Fernwood. 
 ",a few days or more,0.00 ,0.00 ,f,Williamsburg,1,4,"['email', 'phone']",t,t
3711,Jeannie,2018/12/31,"New York, NY","Travel often for work/pleasure
Love the idea of having a place to stay that can feel like home rather than just a bed with four walls.
Makes my traveling much more enjoyable.
I travel either in a group or alone, depending on where and why.
Do enjoy meeting new people and love learning something new everyday. As much as my alone time. 
I thank you in advance for sharing your space with me. ",within an hour,1.00 ,0.99 ,t,New Dorp Beach,2,2,"['email', 'phone', 'work_email']",t,t
3712,Martine,2013/1/8,"New York, United States",,within a day,0.91 ,0.94 ,f,Flatlands,2,2,"['email', 'phone']",t,f
3713,Lindsey,2013/2/27,"New York, NY","I am very clean and considerate. And will treat your home as if it's my own :)

",,0.53 ,0.56 ,f,Tribeca,1,5,"['email', 'phone']",t,t
3714,Hiroki,2014/8/1,United States,,within a few hours,0.99 ,0.92 ,f,Elmhurst,243,260,['phone'],t,t
3715,Lane,2021/1/18,,,within a few hours,0.91 ,0.58 ,f,,3,6,"['email', 'phone']",t,t
3716,Christine,2016/9/10,"New York, NY","I'm a huge foodie and love to cook
I'm Australian, my parents were born in Vietnam
I think I'm the only person who doesn't watch Game of Thrones
",,0.89 ,0.78 ,f,Midtown,1,3,"['email', 'phone']",t,t
3717,Liqin,2018/7/28,"New York, United States",I am LiQin Cheng. I was graduated from University in Shanghai majoring hotel management and hospitality. I worked in hotel under management of Sheraton when I was in China. Shanghai. I love this hospitality industry. Your satisfaction is my final goal.,within an hour,1.00 ,1.00 ,t,,9,9,"['email', 'phone']",t,f
3718,Megan,2012/8/28,"New York, NY",World traveler and adventure seeker! I鈥檓 a long time Brooklyn resident who鈥檚 lived around the world and loves to share my experiences :),within a day,1.00 ,0.53 ,t,Lefferts Garden,2,2,"['email', 'phone']",t,t
3719,Arielle,2014/1/14,"Calistoga, CA",,,0.68 ,0.03 ,f,Midtown,1,3,['phone'],t,t
3720,Eugene,2012/8/11,"New York, NY","my number: (Phone number hidden by Airbnb) , my email: (Email hidden by Airbnb)",within a day,0.96 ,0.05 ,t,Flatbush,290,435,"['email', 'phone']",t,t
3721,Mihika,2016/6/18,"New York, NY",,,0.49 ,0.90 ,f,Midtown,1,1,"['email', 'phone']",t,t
3722,John,2013/9/7,"New York, NY",I am a 20 something dude from Chicago who just moved to New York who is kind of bouncing around hostel and sites like this trying to meet new people while I find a place to live!!,,0.55 ,0.09 ,f,Midtown,1,1,"['email', 'phone']",t,t
3723,Momoyo,2018/7/24,,,within a few hours,0.98 ,0.88 ,f,Woodside,186,194,"['email', 'phone']",t,t
3724,Michael J,2015/8/30,"Sellersville, PA","I enjoy hiking, bicycling, kayaking and fishing.  Gardening and eating healthy keep me grounded.  I enjoy weekend and week long getaways.

I'm also an Airbnb host, so I know the effort that is required to host.  I value the trust that Airbnb hosts have in me. ",within a day,1.00 ,1.00 ,f,Flatbush,2,2,"['email', 'phone']",t,t
3725,Robin LaVerne,2014/11/18,"New York, NY","Hello! I am a Texan-New Yorker, grandly living my dreams! I am a part-time grad student [M.A. Applied Theater] and transitioning into full-time artist. I've toured a bit in Europe and often travel within the US for short trips involving performance activism. I'm very active in lots of eclectic activities and happy to share my knowledge of the neighborhood and great underground spots and events in NYC. I am eager to meet other interesting people from around the world who wish to engage the City as a traveler rather than as a consumer. I encourage you to have an authentic NYC experience.

We are a community of creative intellectuals and professionals in a five bedroom apartment. We affectionately call our place the ""Penthouse"" as it is a walk-up -- yet the rooftop just above is worth the journey and even on a cool day, it's a treat to enjoy. I am incredibly hospitable and will have towels, toiletries, and some comfort essentials available, such as tea, coffee, continental breakfast snacks, etc. 

Welcome to Brooklyn, and look forward to being your hostess!",,0.12 ,0.50 ,f,Bedford-Stuyvesant,3,4,"['email', 'phone', 'work_email']",t,t
3726,Untitled,2017/11/16,"New York, NY","We are UNTITLED 3 freeman alley!
Urban hotel rooms in the heart of New York City. Located in the lower east side. Freeman alley. Everything you need for your next stay. ",within an hour,1.00 ,1.00 ,t,Greenpoint,200,212,"['email', 'phone']",t,t
3727,Tami,2018/7/1,"New York, United States",,within an hour,1.00 ,0.95 ,t,Flatbush,2,2,"['email', 'phone']",t,t
3728,Jose,2016/2/10,"New York, NY",I am an on camera tv journalist and TV producer...mostly working in NY and other parts of  USA to cover stories. ,within an hour,1.00 ,1.00 ,f,Sunnyside,6,6,"['email', 'phone']",t,t
3729,Ippei,2014/12/9,"New York, NY",New Yorker since 1976. Brooklyn resident since 2009.,,0.68 ,0.63 ,f,Bedford-Stuyvesant,1,2,"['email', 'phone']",t,t
3730,Kiriko,2013/6/26,"New York, NY","I am originally from Japan. I have lived in New York for over 15 years. We travel lots, we also use airbnb as guests. I enjoyed hosting people all over the world. 
Please ask us any concerns or questions.
",within an hour,1.00 ,0.97 ,t,Lefferts Garden,1,3,"['email', 'phone']",t,t
3731,Kirill,2016/5/10,"Los Angeles, CA",,within an hour,1.00 ,1.00 ,f,Bushwick,1,3,"['email', 'phone']",t,t
3732,Emily,2021/11/24,,,within an hour,0.77 ,1.00 ,f,Far Rockaway,1,1,['phone'],t,t
3733,Hannah,2021/1/5,,,within an hour,0.92 ,0.86 ,f,,176,185,"['email', 'phone']",t,t
3734,David,2016/7/17,"New York, NY","Hi, my name is David, and I am originally from Ireland.  I moved to New York in 1993 and have called it home ever since. My apartment is part of a building I gut renovated in 2007 and have lived in since it was completed.  I hope you enjoy it as much as my family and I do.
",,0.20 ,1.00 ,t,Brooklyn Heights,1,1,"['email', 'phone']",t,t
3735,Nilufa,2021/9/29,"New York, NY",,within an hour,0.96 ,1.00 ,f,Jamaica,1,1,"['email', 'phone']",t,t
3736,JEMGs Hostel,2018/10/29,"New York, NY","Somos Jess y Christian, matrimonio latino, dedicados al hospedaje y turismo en New York, encantados de ser tus anfitriones en JEMG鈥橲 Hostel.
",within an hour,0.96 ,0.84 ,f,Flushing,6,6,"['email', 'phone']",t,t
3737,Alisa,2018/8/27,"New York, NY",,a few days or more,0.00 ,0.91 ,f,Tompkinsville,5,5,"['email', 'phone']",t,t
3738,Louann,2018/11/30,,,within an hour,1.00 ,0.98 ,t,Jamaica,6,6,"['email', 'phone']",t,f
3739,Emerson & Thelma,2016/6/25,"New York, NY","My name is Thelma and my husbands name is Emerson  we both are from Paraguay, we been living in Nyc for about 10 years now and simply fell in love with this city since day one. ",within an hour,1.00 ,1.00 ,f,Williamsburg,5,7,"['email', 'phone']",t,t
3740,Matias,2012/8/10,"New York, NY","Friendly, respectful, clean guy who loves traveling and meeting others ",,0.88 ,0.91 ,f,Greenpoint,1,3,"['email', 'phone']",t,t
3741,Adrian,2016/8/12,"New York, NY","I am a divorcee with two children; my oldest, 25, with a Marketing career and the youngest, 24, about to begin Med school. I am a teacher with New York City Department of Education. I am currently studying to earn a doctoral degree. An avid reader, I like reading books particularly politics and historical fiction as I am a politics and history junkie. I like traveling which I hope to do a lot of.... post retirement, and after my girls graduate college. In the meantime, I take short jaunts throughout the US and have visited 28 states so far. This summer I plan to head to the US Southwest by road.  I love music and am saving to purchase a Sonos speaker system to stream music throughout my house. My music preference is eclectic but I love 60s music like Mamas and Papas, Hendrix, and Peter Paul & Mary (sound like a Hippie right? ). I am non smoking, and will have drink (beer) now and then. I love to watch movies (all genres) at home with my big screen TV and booming surround speakers that simulate movie theaters.  AS a guest host you can rest assured that you will be in a beautiful, clean quiet, modern, well kept environment will all the trappings of modern living. It will be like you are in your own home as you wont even know I am here (I am often never home) as I work PT after school and on Saturdays. Two girls in college out of town is an expensive undertaking undertaking. I would like a guest that just comes and fits in. My motto is live love, laugh, learn.  ",within an hour,1.00 ,0.97 ,f,Jamaica,1,1,"['email', 'phone']",t,t
3742,Jovid,2019/3/3,"New York, United States",,within an hour,1.00 ,0.86 ,f,Claremont,1,1,['phone'],t,t
3743,Anna,2019/8/1,"New York, NY",,,0.08 ,0.67 ,f,Rego Park,1,1,['phone'],t,t
3744,Gregory,2012/3/5,"New York, NY",I am a swiss french video editor. I have been living in New York for about 12 years.,within a day,1.00 ,0.40 ,t,Williamsburg,1,2,"['email', 'phone']",t,t
3745,Zain,2015/7/1,"New York, NY",,within a day,1.00 ,0.00 ,f,Bedford-Stuyvesant,1,3,"['email', 'phone']",t,t
3746,Dabelle,2021/5/26,,,,0.81 ,0.25 ,f,Midtown,3,4,['phone'],t,f
3747,Jenn,2014/9/24,"Ridgewood, NJ",,,0.96 ,0.23 ,f,Park Slope,2,2,"['email', 'phone']",t,t
3748,Nikolai,2013/3/12,"New York, NY","We are family of three with a 9 year old daughter. My wife is a singer/songwriter/composer and a teacher of the Alexander Technique, and I am a musician and teacher, as well as a furniture maker. Our home is a simple, clean and uncluttered apartment on the 1st floor of a 3 story building, with my brother and sister-in-law on the top floor and my parents part-time on the 2nd floor.",,0.13 ,0.60 ,f,Prospect Heights,1,1,"['email', 'phone']",t,t
3749,Veronica,2015/5/2,"New York, United States"," Proud SINGLE MOM of two 鈥渢eenage/adult鈥?sons. I am very down to earth and easy to get along with. I Love to laugh, watch movies, and enjoy good company. I have been hosting airbnb.com Since July 2017. Please take time and look at my reviews.  鈥淢Y home鈥?that I rent is ""minimal living type shared space."" My apartment home is in the BASEMENT be staying with myself, my children, and other airbnb guest. I would love for you to come and stay, kick back, relax. I would be honored to host you, So your trip to new York city is fun! Let me take care of your luggage and sleeping needs AT AN DISCOUNT PRICE, While you go have a great time touring the sites, taking in the nightlife scene and a few comedy clubs or bars. I truly want you to Feel safe in my home. Leaving New York city, knowing that your stay was a rememberable one. Book now :) ",within an hour,1.00 ,0.97 ,f,Corona,9,10,"['email', 'phone']",t,t
3750,Carlton,2017/4/5,,,,0.40 ,0.14 ,f,Edenwald,1,1,"['email', 'phone']",t,f
3751,Sol,2017/11/21,,,within an hour,1.00 ,0.61 ,f,Upper East Side,12,14,"['email', 'phone']",t,t
3752,Ronnie,2014/5/16,"New York, NY","Hello!  I'm a bass player in several bands based out of Brooklyn, NY.  I never know when I might be called to travel on short notice so I try to keep a flexible schedule.  My experience traveling has given me the best reason to appreciate a great host and to really strive to be the best guest possible.  I often rent out my own room, so I can relate to being a host and welcoming new people into my personal space.  Communication and respect is everything!",,0.38 ,0.77 ,f,Bushwick,1,2,"['email', 'phone', 'work_email']",t,t
3753,Christina,2018/8/18,,,,0.01 ,0.86 ,f,Midtown,1,2,['phone'],t,t
3754,Darryl,2020/10/3,,,within a few hours,1.00 ,0.60 ,f,Jamaica,1,1,"['email', 'phone']",t,f
3755,Rachel,2016/1/26,"New York, NY",,,0.19 ,0.50 ,f,Far Rockaway,1,1,"['email', 'phone']",t,f
3756,Jt,2015/2/3,"New York, NY","I moved to New York about 14 years ago and I can't see myself anywhere else since then!
If you want to discover my amazing city I will be happy to share it with you ;-)
",within an hour,0.99 ,0.90 ,f,Upper East Side,71,76,"['email', 'phone']",t,t
